"conference","year","ordinal","location","submissions","accepted","acceptance_rate"
"NAACL","2022","16th","Seattle, USA","2103","442","21"
"NAACL","2021","15th","Online, Online","1797","477","26.5"
"NAACL","2019","14th","Minneapolis, USA","1733","423","24.4"
"NAACL","2018","13th","New Orleans, USA","1089","331","30.4"
"NAACL","2016","12th","San Diego, California, USA","680","182","26.8"
"NAACL","2015","11th","Denver, USA","714","186","26.1"
"NAACL","2013","10th","Atlanta, USA","460","146","31.7"
"NAACL","2012","9th","Montreal, Canada","301","97","32.2"
"NAACL","2010","8th","Los Angeles, California, USA","450","146","32.4"
"NAACL","2009","7th","Boulder, USA","438","146","33.3"
"NAACL","2007","6th","Rochester, USA","448","127","28.3"
"NAACL","2006","5th","New York City, USA","384","114","29.7"
"NAACL","2004","4th","Boston, USA","252","83","32.9"
"NAACL","2003","3rd","Boston, USA","242","78","32.2"
"NAACL","2000","1st","Seattle, USA","131","46","35.1"
"COLT","2025","38th","Lyon, France","556","166","29.9"
"COLT","2024","37th","Edmonton, Canada","448","160","35.7"
"COLT","2023","36th","Bangalore, India","474","164","34.6"
"COLT","2022","35th","London, UK","470","155","33"
"COLT","2021","34th","Boulder, USA","387","136","35.1"
"COLT","2020","33rd","Online, Online","388","120","30.9"
"COLT","2019","32nd","Phoenix, USA","393","118","30"
"COLT","2018","31st","Stockholm, Sweden","335","91","27.2"
"COLT","2017","30th","Amsterdam, The Netherlands","228","73","32"
"COLT","2016","29th","New York City, USA","199","63","31.7"
"COLT","2015","28th","Paris, France","180","70","38.9"
"COLT","2014","27th","Barcelona, Spain","140","52","37.1"
"COLT","2013","26th","Princeton, USA","98","47","48"
"COLT","2012","25th","Edinburgh, Scotland, UK","139","41","29.5"
"COLT","2010","23rd","Haifa, Israel","129","41","31.8"
"COLT","2008","21st","Helsinki, Finland","126","44","34.9"
"COLT","2007","20th","San Diego, California, USA","92","41","44.6"
"COLT","2006","19th","Pittsburgh, USA","102","43","42.2"
"COLT","2005","18th","Bertinoro, Italy","120","45","37.5"
"COLT","2004","17st","Banff, Canada","107","43","40.2"
"COLT","2003","16th","Washington DC, USA","92","47","51.1"
"COLT","2002","15th","Sydney, Australia","55","26","47.3"
"COLT","2001","14th","Amsterdam, The Netherlands","69","40","58"
"COLT","1999","12th","Santa Cruz, California, USA","71","35","49.3"
"COLT","1991","4th","Santa Cruz, California, USA","77","32","41.6"
"COLT","1990","3rd","Rochester, USA","59","36","61"
"COLT","1989","2nd","Santa Cruz, California, USA","66","31","47"
"AISTATS","2025","28th","Mai Khao, Thailand","1861","583","31.3"
"AISTATS","2024","27th","Valencia, Spain","1980","547","27.6"
"AISTATS","2021","24th","Valencia, Spain","1527","455","29.8"
"AISTATS","2019","22nd","Naha, Japan","1111","360","32.4"
"AISTATS","2018","21st","Lanzarote, Spain","645","214","33.2"
"AISTATS","2017","20th","Fort Lauderdale, USA","530","168","31.7"
"AISTATS","2016","19th","Cadiz, Spain","537","165","30.7"
"AISTATS","2015","18th","San Diego, California, USA","442","127","28.7"
"AISTATS","2014","17th","Reykjavik, Iceland","335","120","35.8"
"AISTATS","2012","15th","La Palma, Spain","402","157","39.1"
"AISTATS","2011","14th","Fort Lauderdale, USA","272","99","36.4"
"AISTATS","2010","13th","Sardinia, Italy","304","125","41.1"
"AISTATS","2009","12th","Clearwater, USA","210","84","40"
"AISTATS","2007","11th","San Juan, Puerto Rico","150","85","56.7"
"AISTATS","2005","10th","Bridgetown, Barbados","150","57","38"
"AISTATS","2003","9th","Key West, USA","107","42","39.3"
"AISTATS","1995","5th","Fort Lauderdale, USA","111","62","55.9"
"UAI","2025","41st","Rio de Janeiro, Brazil","750","230","30.7"
"UAI","2024","40th","Barcelona, Spain","715","200","28"
"UAI","2023","39th","Pittsburgh, USA","778","243","31.2"
"UAI","2022","38th","Eindhoven, The Netherlands","712","230","32.3"
"UAI","2021","37th","Online, Online","694","205","29.5"
"UAI","2020","36th","Online, Online","515","142","27.6"
"UAI","2019","35th","Tel Aviv, Israel","450","118","26.2"
"UAI","2018","34th","Monterey, California, USA","337","104","30.9"
"UAI","2017","33rd","Sydney, Australia","282","87","30.9"
"UAI","2016","32nd","New York City, USA","275","85","30.9"
"UAI","2015","31st","Amsterdam, The Netherlands","291","99","34"
"UAI","2014","30th","Quebec City, Canada","292","94","32.2"
"UAI","2013","29th","Bellevue, Washington, USA","233","73","31.3"
"UAI","2012","28th","Catalina Island, California, USA","304","95","31.2"
"UAI","2011","27th","Barcelona, Spain","285","96","33.7"
"UAI","2009","25th","Montreal, Canada","243","76","31.3"
"UAI","2008","24th","Helsinki, Finland","256","72","28.1"
"UAI","2007","23rd","Vancouver, Canada","180","57","31.7"
"UAI","2006","22nd","Cambridge (MA), USA","215","68","31.6"
"UAI","2005","21st","Edinburgh, Scotland, UK","245","82","33.5"
"UAI","2004","20th","Banff, Canada","253","76","30"
"UAI","2003","19th","Acapulco, Mexico","230","77","33.5"
"UAI","2002","18th","Edmonton, Canada","192","66","34.4"
"UAI","2001","17th","Seattle, USA","173","69","39.9"
"UAI","2000","16th","Stanford, California, USA","165","75","45.5"
"UAI","1999","15th","Stockholm, Sweden","150","77","51.3"
"UAI","1998","14th","Madison, USA","137","62","45.3"
"UAI","1997","13th","Providence, Rhode Island, USA","117","57","48.7"
"UAI","1996","12th","Portland, USA","140","67","47.9"
"UAI","1995","11th","Montreal, Canada","121","67","55.4"
"UAI","1994","10th","Seattle, USA","160","78","48.8"
"UAI","1993","9th","Washington DC, USA","120","66","55"
"UAI","1992","8th","Stanford, California, USA","100","50","50"
"ASPLOS","2025","29th","San Diego, California, USA","912","177","19.4"
"ASPLOS","2024","29th","San Diego, California, USA","922","193","20.9"
"ASPLOS","2023","28th","Vancouver, Canada","600","128","21.3"
"ASPLOS","2022","27th","Lausanne, Switzerland","397","80","20.2"
"ASPLOS","2021","26th","Online, Online","398","75","18.8"
"ASPLOS","2020","25th","Online, Online","486","86","17.7"
"ASPLOS","2019","24th","Providence, Rhode Island, USA","351","74","21.1"
"ASPLOS","2018","23rd","Williamsburg, USA","319","56","17.6"
"ASPLOS","2017","22nd","Xi'an, China","320","53","16.6"
"ASPLOS","2016","21st","Atlanta, USA","232","53","22.8"
"ASPLOS","2015","20th","Istanbul, Turkey","287","48","16.7"
"ASPLOS","2014","19th","Salt Lake City, USA","217","49","22.6"
"ASPLOS","2013","18th","Houston, USA","193","44","22.8"
"ASPLOS","2012","17th","London, UK","172","37","21.5"
"ASPLOS","2011","16th","Newport Beach, California, USA","152","32","21.1"
"ASPLOS","2010","15th","Pittsburgh, USA","181","32","17.7"
"ASPLOS","2009","14th","Washington DC, USA","113","29","25.7"
"ASPLOS","2008","13th","Seattle, USA","127","31","24.4"
"ASPLOS","2006","12th","San Jose, California, USA","158","38","24.1"
"ASPLOS","2004","11th","Boston, USA","169","24","14.2"
"ASPLOS","2002","10th","San Jose, California, USA","130","24","18.5"
"ASPLOS","2000","9th","Cambridge (MA), USA","114","24","21.1"
"ASPLOS","1998","8th","San Jose, California, USA","123","28","22.8"
"ASPLOS","1996","7th","Cambridge (MA), USA","109","25","22.9"
"ASPLOS","1994","6th","San Jose, California, USA","146","29","19.9"
"ASPLOS","1992","5th","Boston, USA","150","24","16"
"ASPLOS","1991","4th","Santa Clara, California, USA","92","28","30.4"
"ASPLOS","1989","3rd","Boston, USA","114","27","23.7"
"ASPLOS","1987","2th","Palo Alto, California, USA","65","22","33.8"
"HPCA","2025","31st","Las Vegas, USA","534","121","22.7"
"HPCA","2024","30th","Edinburgh, Scotland, UK","410","75","18.3"
"HPCA","2023","29th","Montreal, Canada","364","91","25"
"HPCA","2022","28th","Online, Online","273","80","29.3"
"HPCA","2021","27th","Online, Online","260","61","23.5"
"HPCA","2020","26th","San Diego, California, USA","248","48","19.4"
"HPCA","2019","25th","Washington DC, USA","233","46","19.7"
"HPCA","2018","24th","Vienna, Austria","260","54","20.8"
"HPCA","2017","23rd","Austin, USA","224","50","22.3"
"HPCA","2016","22nd","Barcelona, Spain","240","53","22.1"
"HPCA","2015","21st","San Francisco, California, USA","228","51","22.4"
"HPCA","2014","20th","Orlando, USA","215","55","25.6"
"HPCA","2013","19th","Shenzhen, China","249","51","20.5"
"HPCA","2012","18th","New Orleans, USA","213","36","16.9"
"HPCA","2011","17th","San Antonio, USA","227","42","18.5"
"HPCA","2010","16th","Bangalore, India","175","32","18.3"
"HPCA","2009","15th","Raleigh, USA","184","35","19"
"HPCA","2008","14th","Salt Lake City, USA","161","31","19.3"
"HPCA","2007","13th","Phoenix, USA","174","28","16.1"
"HPCA","2006","12th","Austin, USA","172","26","15.1"
"HPCA","2005","11th","San Francisco, California, USA","181","28","15.5"
"HPCA","2004","10th","Madrid, Spain","153","27","17.6"
"HPCA","2003","9th","Anaheim, California, USA","141","31","22"
"HPCA","2002","8th","Boston, USA","130","26","20"
"HPCA","2001","7th","Nuevo Leone, Mexico","110","26","23.6"
"HPCA","2000","6th","Toulouse, France","163","35","21.5"
"HPCA","1999","5th","Orlando, USA","117","24","20.5"
"HPCA","1998","4th","Las Vegas, USA","141","31","22"
"HPCA","1997","3rd","San Antonio, USA","152","30","19.7"
"HPCA","1996","2nd","San Jose, California, USA","131","29","22.1"
"HPCA","1995","1st","Raleigh, USA","190","36","18.9"
"ISCA","2025","52nd","Tokyo, Japan","570","132","23.2"
"ISCA","2024","51st","Buenos Aires, Argentina","423","83","19.6"
"ISCA","2023","50th","Orlando, USA","372","79","21.2"
"ISCA","2022","49th","New York City, USA","400","67","16.8"
"ISCA","2021","48th","Online, Online","407","76","18.7"
"ISCA","2020","47th","Online, Online","428","77","18"
"ISCA","2019","46th","Phoenix, USA","365","62","17"
"ISCA","2018","45th","Los Angeles, California, USA","367","64","17.4"
"ISCA","2017","44th","Toronto, Canada","322","54","16.8"
"ISCA","2016","43rd","Seoul, Korea","291","57","19.6"
"ISCA","2015","42nd","Portland, USA","305","58","19"
"ISCA","2014","41st","Minneapolis, USA","258","46","17.8"
"ISCA","2013","40th","Tel Aviv, Israel","288","56","19.4"
"ISCA","2012","39th","Portland, USA","262","47","17.9"
"ISCA","2011","38th","San Jose, California, USA","208","40","19.2"
"ISCA","2010","37th","Saint-Malo, France","245","44","18"
"ISCA","2009","36th","Austin, USA","210","43","20.5"
"ISCA","2008","35th","Beijing, China","259","37","14.3"
"ISCA","2007","34th","San Diego, California, USA","204","46","22.5"
"ISCA","2006","33rd","Boston, USA","234","31","13.2"
"ISCA","2005","32nd","Madison, USA","194","45","23.2"
"ISCA","2004","31st","Munich, Germany","217","31","14.3"
"ISCA","2003","30th","San Diego, California, USA","184","36","19.6"
"ISCA","2002","29th","Anchorage, USA","180","27","15"
"ISCA","2001","28th","Gothenburg, Sweden","163","24","14.7"
"ISCA","2000","27th","Vancouver, Canada","166","29","17.5"
"ISCA","1999","26th","Atlanta, USA","135","26","19.3"
"ISCA","1998","25th","Barcelona, Spain","156","33","21.2"
"ISCA","1997","24th","Boulder, USA","147","30","20.4"
"ISCA","1996","23rd","Philadelphia, USA","112","28","25"
"ISCA","1995","22nd","Santa Margherita Ligure, Italy","180","37","20.6"
"ISCA","1994","21st","Chicago, USA","143","34","23.8"
"ISCA","1993","20th","San Diego, California, USA","208","32","15.4"
"ISCA","1992","19th","Queensland, Australia","173","39","22.5"
"ISCA","1991","18th","Toronto, Canada","197","38","19.3"
"ISCA","1990","17th","Seattle, USA","242","34","14"
"ISCA","1989","16th","Jerusalem, Israel","170","46","27.1"
"ISCA","1988","15th","Honolulu, Hawaii, USA","275","50","18.2"
"ISCA","1987","14th","Pittsburgh, USA","126","35","27.8"
"ISCA","1986","13th","Tokyo, Japan","171","50","29.2"
"ISCA","1985","12th","Boston, USA","127","43","33.9"
"ISCA","1984","11th","Ann Arbor, USA","106","41","38.7"
"ISCA","1983","10th","Stockholm, Sweden","149","48","32.2"
"ISCA","1982","9th","Austin, USA","90","35","38.9"
"ISCA","1981","8th","Minneapolis, USA","90","40","44.4"
"ISCA","1980","7th","La Baule, France","145","40","27.6"
"ISCA","1979","6th","Philadelphia, USA","56","27","48.2"
"ISCA","1978","5th","Palo Alto, California, USA","86","38","44.2"
"ISCA","1977","4th","College Park, USA","63","27","42.9"
"ISCA","1976","3rd","Clearwater, USA","80","40","50"
"MICRO","2025","58th","Seoul, Korea","597","124","20.8"
"MICRO","2024","57th","Austin, USA","497","113","22.7"
"MICRO","2023","56th","Toronto, Canada","434","101","23.3"
"MICRO","2022","55th","Chicago, USA","366","83","22.7"
"MICRO","2021","54th","Online, Online","430","94","21.9"
"MICRO","2020","53rd","Online, Online","446","82","18.4"
"MICRO","2019","52nd","Columbus, USA","344","79","23"
"MICRO","2018","51st","Fukuoka, Japan","351","74","21.1"
"MICRO","2017","50th","Cambridge (MA), USA","327","61","18.7"
"MICRO","2016","49th","Taipei, Taiwan, China","288","61","21.2"
"MICRO","2015","48th","Honolulu, Hawaii, USA","283","61","21.6"
"MICRO","2014","47th","Cambridge, UK","279","53","19"
"MICRO","2013","46th","Davis, California, USA","239","39","16.3"
"MICRO","2012","45th","Vancouver, Canada","228","40","17.5"
"MICRO","2011","44th","Porto Alegre, Brazil","209","44","21.1"
"MICRO","2010","43rd","Atlanta, USA","248","42","16.9"
"MICRO","2009","42nd","New York City, USA","209","52","24.9"
"MICRO","2008","41st","Lake Como, Italy","210","40","19"
"MICRO","2007","40th","Chicago, USA","166","35","21.1"
"MICRO","2006","39th","Orlando, USA","174","42","24.1"
"MICRO","2005","38th","Barcelona, Spain","147","29","19.7"
"MICRO","2004","37th","Portland, USA","158","29","18.4"
"MICRO","2003","36th","San Diego, California, USA","134","35","26.1"
"MICRO","2002","35th","Istanbul, Turkey","150","36","24"
"MICRO","2001","34th","Austin, USA","144","29","20.1"
"MICRO","2000","33rd","Monterey, California, USA","110","31","28.2"
"MICRO","1999","32nd","Haifa, Israel","131","27","20.6"
"MICRO","1998","31st","Dallas, USA","108","28","25.9"
"MICRO","1997","30th","Research Triangle Park, USA","103","35","34"
"MICRO","1996","29th","Paris, France","94","30","31.9"
"MICRO","1995","28th","Ann Arbor, USA","90","22","24.4"
"MICRO","1994","27th","San Jose, California, USA","63","27","42.9"
"MICRO","1993","26th","Austin, USA","63","21","33.3"
"MICRO","1992","25th","Portland, USA","79","21","26.6"
"MICRO","1991","24th","Albuquerque, USA","61","26","42.6"
"CCS","2025","32nd","Taipei, Taiwan, China","2186","316","14.5"
"CCS","2024","31st","Salt Lake City, USA","1964","328","16.7"
"CCS","2023","30th","Copenhagen, Denmark","1222","235","19.2"
"CCS","2022","29th","Los Angeles, California, USA","971","218","22.5"
"CCS","2021","28th","Online, Online","879","196","22.3"
"CCS","2020","27th","Online, Online","715","121","16.9"
"CCS","2019","26th","London, UK","934","149","16"
"CCS","2018","25th","Toronto, Canada","809","134","16.6"
"CCS","2017","24th","Dallas, USA","836","151","18.1"
"CCS","2016","23rd","Vienna, Austria","831","137","16.5"
"CCS","2015","22nd","Denver, USA","660","128","19.4"
"CCS","2014","21st","Scottsdale, USA","585","114","19.5"
"CCS","2013","20th","Berlin, Germany","530","105","19.8"
"CCS","2012","19th","Raleigh, USA","423","81","19.1"
"CCS","2011","18th","Chicago, USA","429","60","14"
"CCS","2010","17th","Chicago, USA","325","55","16.9"
"CCS","2009","16th","Chicago, USA","315","58","18.4"
"CCS","2008","15th","Alexandria, USA","280","51","18.2"
"CCS","2007","14th","Alexandria, USA","302","55","18.2"
"CCS","2006","13th","Alexandria, USA","256","38","14.8"
"CCS","2005","12th","Alexandria, USA","250","38","15.2"
"CCS","2004","11th","Washington DC, USA","251","35","13.9"
"CCS","2003","10th","Washington DC, USA","253","35","13.8"
"CCS","2002","9th","Washington DC, USA","153","27","17.6"
"CCS","2001","8th","Philadelphia, USA","153","27","17.6"
"CCS","2000","7th","Athens, Greece","132","28","21.2"
"CCS","1999","6th","Singapore, Singapore","83","16","19.3"
"CCS","1998","5th","San Francisco, California, USA","85","17","20"
"CCS","1997","4th","Zurich, Switzerland","64","17","26.6"
"CCS","1996","3rd","New Delhi, India","59","19","32.2"
"CCS","1994","2nd","Fairfax, USA","70","31","44.3"
"CCS","1993","1st","Fairfax, Greece","60","27","45"
"IEEE S&P","2025","46th","San Francisco, California, USA","1740","257","14.8"
"IEEE S&P","2024","45th","San Francisco, California, USA","1466","261","17.8"
"IEEE S&P","2023","44th","San Francisco, California, USA","1147","199","17.3"
"IEEE S&P","2022","43rd","San Francisco, California, USA","1012","147","14.5"
"IEEE S&P","2021","42nd","Online, Online","952","115","12.1"
"IEEE S&P","2020","41st","Online, Online","841","104","12.4"
"IEEE S&P","2019","40th","San Francisco, California, USA","651","84","12.9"
"IEEE S&P","2018","39th","San Francisco, California, USA","533","63","11.8"
"IEEE S&P","2017","38th","San Jose, California, USA","419","60","14.3"
"IEEE S&P","2016","37th","San Jose, California, USA","398","55","13.8"
"IEEE S&P","2015","36th","San Jose, California, USA","407","55","13.5"
"IEEE S&P","2014","35th","San Jose, California, USA","333","44","13.2"
"IEEE S&P","2013","34th","San Francisco, California, USA","315","38","12.1"
"IEEE S&P","2012","33rd","San Francisco, California, USA","307","40","13"
"IEEE S&P","2011","32nd","Berkeley, California, USA","309","34","11"
"IEEE S&P","2010","31st","Berkeley, California, USA","267","31","11.6"
"IEEE S&P","2009","30th","Oakland, California, USA","254","26","10.2"
"IEEE S&P","2008","29th","Oakland, California, USA","249","28","11.2"
"IEEE S&P","2007","28th","Berkeley, California, USA","246","29","11.8"
"IEEE S&P","2006","27th","Berkeley, California, USA","251","32","12.7"
"IEEE S&P","2005","26th","Oakland, California, USA","192","17","8.9"
"IEEE S&P","2004","25th","Oakland, California, USA","186","19","10.2"
"IEEE S&P","2003","24th","Oakland, California, USA","131","19","14.5"
"IEEE S&P","2002","23rd","Berkeley, California, USA","95","21","22.1"
"IEEE S&P","2001","22nd","Oakland, California, USA","107","19","17.8"
"IEEE S&P","2000","21st","Oakland, California, USA","137","18","13.1"
"IEEE S&P","1999","20th","Oakland, California, USA","61","15","24.6"
"IEEE S&P","1998","19th","Oakland, California, USA","116","19","16.4"
"IEEE S&P","1997","18th","Oakland, California, USA","110","23","20.9"
"IEEE S&P","1996","17th","Oakland, California, USA","67","20","29.9"
"IEEE S&P","1995","16th","Oakland, California, USA","72","20","27.8"
"IEEE S&P","1994","15th","Oakland, California, USA","64","19","29.7"
"IEEE S&P","1993","14th","Oakland, California, USA","70","17","24.3"
"IEEE S&P","1992","13th","Oakland, California, USA","89","21","23.6"
"IEEE S&P","1991","12th","Oakland, California, USA","92","28","30.4"
"IEEE S&P","1990","11th","Oakland, California, USA","99","33","33.3"
"IEEE S&P","1986","7th","Oakland, California, USA","89","23","25.8"
"IEEE S&P","1985","6th","Oakland, California, USA","63","25","39.7"
"IEEE S&P","1984","5th","Oakland, California, USA","39","15","38.5"
"IEEE S&P","1983","4th","Oakland, California, USA","34","23","67.6"
"IEEE S&P","1982","3th","Oakland, California, USA","34","19","55.9"
"IEEE S&P","1980","1st","Oakland, California, USA","19","19","100"
"USENIX Security","2025","34th","Seattle, USA","2385","407","17.1"
"USENIX Security","2024","33rd","Philadelphia, USA","2176","417","19.2"
"USENIX Security","2023","32nd","Anaheim, California, USA","1444","422","29.2"
"USENIX Security","2022","31st","Boston, USA","1414","256","18.1"
"USENIX Security","2021","30th","Online, Online","1294","246","19"
"USENIX Security","2020","29th","Online, Online","977","157","16.1"
"USENIX Security","2019","28th","Santa Clara, California, USA","697","113","16.2"
"USENIX Security","2018","27th","Baltimore, USA","500","100","20"
"USENIX Security","2017","26th","Vancouver, Canada","553","85","15.4"
"USENIX Security","2016","25th","Austin, USA","451","72","16"
"USENIX Security","2015","24th","Washington DC, USA","407","67","16.5"
"USENIX Security","2014","23rd","San Diego, California, USA","350","67","19.1"
"USENIX Security","2013","22nd","Washington DC, USA","277","44","15.9"
"USENIX Security","2012","21st","Bellevue, Washington, USA","222","43","19.4"
"USENIX Security","2011","20th","San Francisco, California, USA","204","35","17.2"
"USENIX Security","2010","19th","Washington DC, USA","202","30","14.9"
"USENIX Security","2009","18th","Montreal, Canada","172","26","15.1"
"USENIX Security","2008","17th","San Jose, California, USA","170","27","15.9"
"USENIX Security","2007","16th","Boston, USA","187","23","12.3"
"USENIX Security","2006","15th","Vancouver, Canada","179","22","12.3"
"USENIX Security","2005","14th","Baltimore, USA","149","22","14.8"
"USENIX Security","2004","13th","San Diego, California, USA","184","22","12"
"USENIX Security","2003","12th","Washington DC, USA","128","21","16.4"
"USENIX Security","2002","11th","San Francisco, California, USA","130","22","16.9"
"USENIX Security","2001","10th","Washington DC, USA","83","24","28.9"
"USENIX Security","1999","8th","Washington DC, USA","67","18","26.9"
"USENIX Security","1998","7th","San Antonio, USA","65","18","27.7"
"NDSS","2025","32nd","San Diego, California, USA","1311","211","16.1"
"NDSS","2024","31st","San Diego, California, USA","682","140","20.5"
"NDSS","2023","30th","San Diego, California, USA","574","94","16.4"
"NDSS","2022","29th","San Diego, California, USA","513","83","16.2"
"NDSS","2021","28th","Online, Online","573","87","15.2"
"NDSS","2020","27th","San Diego, California, USA","506","88","17.4"
"NDSS","2019","26th","San Diego, California, USA","521","89","17.1"
"NDSS","2018","25th","San Diego, California, USA","331","71","21.5"
"NDSS","2017","24th","San Diego, California, USA","423","68","16.1"
"NDSS","2016","23rd","San Diego, California, USA","389","60","15.4"
"NDSS","2015","22nd","San Diego, California, USA","302","51","16.9"
"NDSS","2014","21st","San Diego, California, USA","295","55","18.6"
"NDSS","2013","20th","San Diego, California, USA","250","47","18.8"
"NDSS","2012","19th","San Diego, California, USA","258","46","17.8"
"NDSS","2010","17th","San Diego, California, USA","156","24","15.4"
"NDSS","2009","16th","San Diego, California, USA","171","20","11.7"
"NDSS","2008","15th","San Diego, California, USA","118","21","17.8"
"NDSS","2007","14th","San Diego, California, USA","125","18","14.4"
"Asiacrypt","2025","31st","Melbourne, Australia","533","143","26.8"
"Asiacrypt","2024","30th","Kolkata, India","433","127","29.3"
"Asiacrypt","2023","29th","Guangzhou, China","375","106","28.3"
"Asiacrypt","2022","28th","Taipei, Taiwan, China","363","98","27"
"Asiacrypt","2021","27th","Singapore, Singapore","332","95","28.6"
"Asiacrypt","2020","26th","Online, Online","328","85","25.9"
"Asiacrypt","2019","25th","Kobe, Japan","307","71","23.1"
"Asiacrypt","2018","24th","Brisbane, Australia","234","65","27.8"
"Asiacrypt","2017","23rd","Hong Kong, China","243","67","27.6"
"Asiacrypt","2016","22nd","Hanoi, Vietnam","240","67","27.9"
"Asiacrypt","2015","21st","Auckland, New Zealand","251","64","25.5"
"Asiacrypt","2014","20th","Kaohsiung, Taiwan, China","255","55","21.6"
"Asiacrypt","2013","19th","Bangalore, India","269","54","20.1"
"Asiacrypt","2012","18th","Beijing, China","247","43","17.4"
"Asiacrypt","2011","17th","Seoul, Korea","266","40","15"
"Asiacrypt","2010","16th","Singapore, Singapore","216","35","16.2"
"Asiacrypt","2009","15th","Tokyo, Japan","300","41","13.7"
"Asiacrypt","2008","14th","Melbourne, Australia","196","33","16.8"
"Asiacrypt","2007","13th","Kuching, Malaysia","223","33","14.8"
"Asiacrypt","2006","12th","Shanghai, China","314","30","9.6"
"Asiacrypt","2005","11th","Chennai, India","237","37","15.6"
"Asiacrypt","2004","10th","Jeju, Korea","208","35","16.8"
"Asiacrypt","2003","9th","Taipei, Taiwan, China","188","33","17.6"
"Asiacrypt","2002","8th","Queenstown, New Zealand","173","34","19.7"
"Asiacrypt","2001","7th","Gold Coast, Australia","153","33","21.6"
"Asiacrypt","2000","6th","Kyoto, Japan","140","45","32.1"
"Asiacrypt","1999","5th","Singapore, Singapore","96","31","32.3"
"Asiacrypt","1998","4th","Beijing, China","118","32","27.1"
"Asiacrypt","1996","3rd","Kyongju, Korea","124","31","25"
"Asiacrypt","1994","2nd","Queensland, Australia","94","30","31.9"
"Asiacrypt","1991","1st","Fujiyoshida, Japan","97","39","40.2"
"Crypto","2025","45th","Santa Barbara, California, USA","643","156","24.3"
"Crypto","2024","44th","Santa Barbara, California, USA","519","143","27.6"
"Crypto","2023","43rd","Santa Barbara, California, USA","479","124","25.9"
"Crypto","2022","42nd","Santa Barbara, California, USA","452","99","21.9"
"Crypto","2021","41st","Online, Online","414","103","24.9"
"Crypto","2020","40th","Online, Online","371","85","22.9"
"Crypto","2019","39th","Santa Barbara, California, USA","378","81","21.4"
"Crypto","2018","38th","Santa Barbara, California, USA","351","79","22.5"
"Crypto","2017","37th","Santa Barbara, California, USA","311","72","23.2"
"Crypto","2016","36th","Santa Barbara, California, USA","274","70","25.5"
"Crypto","2015","35th","Santa Barbara, California, USA","266","74","27.8"
"Crypto","2014","34th","Santa Barbara, California, USA","227","60","26.4"
"Crypto","2013","33rd","Santa Barbara, California, USA","227","61","26.9"
"Crypto","2012","32nd","Santa Barbara, California, USA","225","48","21.3"
"Crypto","2011","31st","Santa Barbara, California, USA","230","42","18.3"
"Crypto","2010","30th","Santa Barbara, California, USA","202","39","19.3"
"Crypto","2009","29th","Santa Barbara, California, USA","213","39","18.3"
"Crypto","2008","28th","Santa Barbara, California, USA","184","32","17.4"
"Crypto","2007","27th","Santa Barbara, California, USA","186","33","17.7"
"Crypto","2006","26th","Santa Barbara, California, USA","220","34","15.5"
"Crypto","2005","25th","Santa Barbara, California, USA","180","33","18.3"
"Crypto","2004","24th","Santa Barbara, California, USA","212","33","15.6"
"Crypto","2003","23rd","Santa Barbara, California, USA","169","34","20.1"
"Crypto","2002","22nd","Santa Barbara, California, USA","175","39","22.3"
"Crypto","2001","21st","Santa Barbara, California, USA","156","33","21.2"
"Crypto","2000","20th","Santa Barbara, California, USA","120","32","26.7"
"Crypto","1999","19th","Santa Barbara, California, USA","169","38","22.5"
"Crypto","1998","18th","Santa Barbara, California, USA","144","33","22.9"
"Crypto","1997","17th","Santa Barbara, California, USA","160","36","22.5"
"Crypto","1996","16th","Santa Barbara, California, USA","115","30","26.1"
"Crypto","1995","15th","Santa Barbara, California, USA","151","36","23.8"
"Crypto","1994","14th","Santa Barbara, California, USA","114","38","33.3"
"Crypto","1993","13th","Santa Barbara, California, USA","136","38","27.9"
"Crypto","1992","12th","Santa Barbara, California, USA","135","38","28.1"
"Crypto","1991","11th","Santa Barbara, California, USA","110","36","32.7"
"Crypto","1990","10th","Santa Barbara, California, USA","104","42","40.4"
"Crypto","1989","9th","Santa Barbara, California, USA","93","42","45.2"
"Crypto","1988","8th","Santa Barbara, California, USA","61","35","57.4"
"Eurocrypt","2025","44th","Madrid, Spain","602","123","20.4"
"Eurocrypt","2024","43rd","Zurich, Switzerland","482","105","21.8"
"Eurocrypt","2023","42nd","Lyon, France","415","109","26.3"
"Eurocrypt","2022","41st","Trondheim, Norway","369","85","23"
"Eurocrypt","2021","40th","Zagreb, Croatia","401","78","19.5"
"Eurocrypt","2020","39th","Online, Online","375","81","21.6"
"Eurocrypt","2019","38th","Darmstadt, Germany","327","76","23.2"
"Eurocrypt","2018","37th","Tel Aviv, Israel","294","69","23.5"
"Eurocrypt","2017","36th","Paris, France","264","67","25.4"
"Eurocrypt","2016","35th","Vienna, Austria","274","62","22.6"
"Eurocrypt","2015","34th","Sofia, Bulgaria","194","57","29.4"
"Eurocrypt","2014","33rd","Copenhagen, Denmark","197","38","19.3"
"Eurocrypt","2013","32nd","Athens, Greece","202","41","20.3"
"Eurocrypt","2012","31st","Cambridge, UK","195","41","21"
"Eurocrypt","2011","30th","Tallinn, Estonia","167","31","18.6"
"Eurocrypt","2010","29th","Nice, France","192","33","17.2"
"Eurocrypt","2009","28th","Cologne, Germany","148","33","22.3"
"Eurocrypt","2008","27th","Istanbul, Turkey","163","31","19"
