"conference","full_name","category","main_discipline","other_disciplines","organization","website"
"ECRTS","Euromicro Conference on Real-Time Systems","RTS","Real-Time Systems","Embedded/RT Systems Design;Scheduling Design & Analysis;WCET Analysis;Power, Energy and/or Thermal-aware RTS;RT operating Systems & Middleware;Network/System-on-Chips;Mixed Criticality Design & Assurance;Wireless Sensor Networks;RT Applications;Tools & Compilers for Embedded Systems","Euromicro Technical Committee on Real-Time Systems","http://archives.ecrts.org/index4da6.html?id=org"
"RTAS","IEEE Real-Time and Embedded Technology and Applications Symposium","RTS","Time-Sensitive Systems;Real-Time OS;Cyber-Physical Systems","Time-Sensitive Appli.;RT & Embed OS;Hypervisors & Runtime Frameworks;Hardware Arch, Memory Hierarchies;FPGA;GPU;Accelerators;Time-Sensitive Networks;IoT Infrast.;Microservice Technol.;Cloud & Edge Computing;RT AI & ML;Appli. Profiling;WCET Analysis;Compilers;Scheduling & Resource Allocation;System-level Optimization;Co-design Tech.;Design Space Exploration;Verification & Validation","IEEE, IEEE CompSoc, IEEE CompSoc TCRTS","https://www.rtas.org/"
"RTSS","IEEE Real-Time Systems Symposium","RTS","Real-Time Systems;Real-Time Design & Applications","RT OS;RT Networks;RT Middleware;RT Compilers & Tools;RT Scheduling;RT QoS Support;Resource Management;Test & Debug;Design & Verification;RT Modeling;WCET Analysis;Performance Analysis;Fault Tolerance;RT Security;Cyber-Physical Systems;HW-SW Integration;System-level Design;IoT","IEEE, IEEE CompSoc, IEEE CompSoc TCRTS","https://www.rtss.org"
"HPDC","International Symposium on High-Performance Parallel Distributed Computing","HPC","High-Performance Computing;Distributed Systems;Parallel Computing","Cloud Computing;Edge Computing;Resource Management;Fault Tolerance;Performance Optimization","ACM, ACM SIGARCH, IEEE (former)","http://www.hpdc.org/"
"ICS","International Conference on Supercomputing","HPC","High Performance Computing;Parallel & Distributed Computing;Scalable Architectures","Energy-Efficient Computing;Cloud & Edge Computing;Compiler Optimization;Machine Learning for HPC;Computational Science Applications","ACM, ACM SIGARCH","https://www.ics-conference.org/"
"SC","The International Conference for High Performance Computing, Networking, Storage and Analysis","HPC","High Performance Computing;Networking;Storage","Parallel Computing;Cloud Computing;Big Data;Supercomputing;Machine Learning;Scientific Computing","ACM, IEEE","https://supercomputing.org"
"PPoPP","ACM SIGPLAN Symposium on Principles and Practice of Parallel Programming","HPC","Parallel Computing;Concurrency;Performance Optimization","Multicore & Manycore Systems;Compilers & Runtime Systems;Synchronization & Scalability;High-Performance Systems;Parallel Algorithms & Data Structures","ACM SIGPLAN","https://www.sigplan.org/Conferences/PPOPP/"
"IPDPS","IEEE International Parallel and Distributed Processing Symposium","HPC","Parallel Computing;Distributed Computing;High-Performance Computing","Computational Algorithms;Data Science Algorithms;System Software;Programming Models, Compilers & Runtime Systems;Architecture;Measurements, Modeling & Experiments;Applications","IEEE CompSoc TCPP","https://www.ipdps.org/"
"IMC","ACM Internet Measurement Conference","Metrics","Network Measurement;Internet Performance;Data Communications","Network Topology;Traffic Analysis;Routing;Security","ACM SIGCOMM, ACM SIGMETRICS","https://www.sigcomm.org/events/imc"
"SIGMETRICS","ACM SIGMETRICS International Conference on Measurement and Modeling of Computer Systems","Metrics","Performance Evaluation & Modeling;Machine Learning for Systems;Computer Systems and Networks","Cloud & Edge Computing;Security & Privacy in Computing;High-Performance Computing;Optimization & Resource Management;Measurement & Benchmarking","ACM SIGMETRICS","https://www.sigmetrics.org/index.shtml"
